Date,Volume
15-02-2021,355922
17-02-2021,257335
18-02-2021,224767
19-02-2021,251783
22-02-2021,221198
23-02-2021,191147
24-02-2021,224060
25-02-2021,316252
26-02-2021,362549
01-03-2021,241917
02-03-2021,235964
03-03-2021,255653
04-03-2021,277449
05-03-2021,269333
08-03-2021,273905
09-03-2021,248946
10-03-2021,226890
11-03-2021,215341
12-03-2021,232207
15-03-2021,163045
16-03-2021,173891
17-03-2021,220553
18-03-2021,251758
19-03-2021,213282
22-03-2021,196311
23-03-2021,226204
24-03-2021,186524
25-03-2021,226207
26-03-2021,172944
29-03-2021,135457
30-03-2021,225871
31-03-2021,210770
01-04-2021,170430
05-04-2021,101746
06-04-2021,152598
07-04-2021,122802
08-04-2021,144574
09-04-2021,171395
12-04-2021,125360
13-04-2021,175594
14-04-2021,145260
15-04-2021,198143
16-04-2021,173498
19-04-2021,180726
20-04-2021,169041
21-04-2021,173968
22-04-2021,163753
23-04-2021,175847
26-04-2021,143358
27-04-2021,147945
28-04-2021,198578
29-04-2021,231520
30-04-2021,167292
03-05-2021,204543
04-05-2021,246585
05-05-2021,178811
06-05-2021,287629
07-05-2021,367695
10-05-2021,269707
11-05-2021,311104
12-05-2021,339207
13-05-2021,249928
14-05-2021,224380
17-05-2021,267705
18-05-2021,229016
19-05-2021,398212
20-05-2021,223568
21-05-2021,234291
24-05-2021,183312
25-05-2021,316673
26-05-2021,170526
27-05-2021,35794
28-05-2021,198141
31-05-2021,290653
02-06-2021,166036
03-06-2021,278578
04-06-2021,228826
07-06-2021,146018
08-06-2021,173604
09-06-2021,147332
10-06-2021,250551
11-06-2021,220455
14-06-2021,242302
15-06-2021,155343
16-06-2021,234104
17-06-2021,385888
18-06-2021,264605
21-06-2021,195523
22-06-2021,172745
23-06-2021,179273
24-06-2021,152232
25-06-2021,161203
28-06-2021,160788
29-06-2021,239910
30-06-2021,177887
01-07-2021,171443
02-07-2021,205858
05-07-2021,276597
07-07-2021,171075
08-07-2021,249340
09-07-2021,185581
12-07-2021,201416
13-07-2021,242177
14-07-2021,229879
15-07-2021,175611
16-07-2021,184655
19-07-2021,249675
20-07-2021,221136
21-07-2021,218636
22-07-2021,193318
23-07-2021,236764
26-07-2021,204547
27-07-2021,177043
28-07-2021,209783
29-07-2021,212065
30-07-2021,157136
02-08-2021,159755
03-08-2021,103450
04-08-2021,244683
05-08-2021,169840
06-08-2021,323149
09-08-2021,289543
10-08-2021,182561
11-08-2021,185442
12-08-2021,137119
13-08-2021,144809
16-08-2021,137698
17-08-2021,144815
18-08-2021,132725
19-08-2021,151245
20-08-2021,107966
23-08-2021,156318
24-08-2021,114785
25-08-2021,163463
26-08-2021,134534
27-08-2021,203642
30-08-2021,104875
31-08-2021,170387
01-09-2021,140116
02-09-2021,113025
03-09-2021,184984
06-09-2021,252475
08-09-2021,161258
09-09-2021,154126
10-09-2021,136246
13-09-2021,114310
14-09-2021,197954
15-09-2021,139297
16-09-2021,255267
17-09-2021,183254
20-09-2021,152451
21-09-2021,141622
22-09-2021,172348
23-09-2021,225456
24-09-2021,151552
27-09-2021,137574
28-09-2021,215840
29-09-2021,177389
30-09-2021,246365
01-10-2021,151195
04-10-2021,166180
05-10-2021,151424
06-10-2021,159218
07-10-2021,146406
08-10-2021,240371
11-10-2021,114771
12-10-2021,168110
13-10-2021,299041
14-10-2021,164651
15-10-2021,202631
18-10-2021,152741
19-10-2021,166972
20-10-2021,174076
21-10-2021,138729
22-10-2021,312812
25-10-2021,153589
26-10-2021,197929
27-10-2021,182801
28-10-2021,220876
29-10-2021,254513
01-11-2021,143332
02-11-2021,145786
03-11-2021,257427
04-11-2021,222609
05-11-2021,299618
08-11-2021,200412
09-11-2021,224407
10-11-2021,352787
11-11-2021,205312
12-11-2021,201358
15-11-2021,221208
16-11-2021,220431
17-11-2021,172417
18-11-2021,186062
19-11-2021,234083
22-11-2021,352857
23-11-2021,311348
24-11-2021,203236
25-11-2021,180641
29-11-2021,151365
30-11-2021,242861
01-12-2021,180336
02-12-2021,172719
03-12-2021,175176
06-12-2021,104477
07-12-2021,129894
08-12-2021,109692
09-12-2021,123974
10-12-2021,141995
13-12-2021,106057
14-12-2021,153249
15-12-2021,161101
16-12-2021,167777
17-12-2021,156607
20-12-2021,105386
21-12-2021,134154
22-12-2021,110408
23-12-2021,104844
27-12-2021,84225
28-12-2021,100542
29-12-2021,138685
30-12-2021,113430
31-12-2021,106604
